10,"""D&W is a film that objectively deserves a nice 4: full of holes in the plot, history to forget and probably one of the most lame of the whole MCU, characters without any emotional depth and many other cinematic horrors. Wolverine is reduced to a mere character that serves only to support the jokes of Deadpool. Which is a shame, since Jackman is a great actor who could have been used much more. The title of the most suitable film would be: Deadpool (written in giant letters) & a bit of Wolverine (as subtitle). The villain is terrible to say the least: almost non-existent motivations, a little random powers and a forced and fake acting. The secondary characters are strung with force , according to the fan service fashion to which the film continually winks. So why is my grade 6? It's simple: it's funny. It's a very flat and drawn-out movie, but it's funny, and not little. The irony of this film is unmatched and it makes fun of anything, following a comical pattern that has disappeared with the culture of politically correct (Disney...). The final film is free, unrestrained, unregulated and minimally influenced. Get ready to laugh every 10 minutes: the jokes are so sharp that it's almost impossible not to mention a small smile. It's a pity that comedy is not enough, if everything else is as mediocre as few films.Honorable mention for Dogpool, who, believe me, is the best actor in the film. And that says a lot.""",Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"""Story was a 4/10 max. I genuinely got bored and if Ryan Reynolds wasn't there to make it actually funny I probably would've walked out. The fact I'm giving them 2 starts on top of the 4 just because it was funny is crazy.I don't know when Marvel will learn that this multi-verse is ruining them. They're out of ideas and just throwing it into films (as suggested by Ryan in the movie).Saddest part was the fact it was actually really funny. I would say it was probably funnier than the original Deadpool. The potential this franchise has and the past 2 have been complete let downs.Also, if anyone even paid attention to the original Deadpool, surely you know he became the killer he is to avenge his girlfriend's death... and they just completely undid all of that. Disney is like the franchise just buying companies and just eating away at them until there is nothing left. If they can ruin a Deadpool film like this god help them.""",Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"""When did cursing more become a recipe for humour?Much of the film is filled with Wolverine and Deadpool needlessly stabbing of one another as if that was going to help the plot.The cameos were more time fillers because the plot itself was without any substance.They should stop Ryan Reynolds from writing screenplays. Anyone encouraging him should be accused of having an agenda.If you feel that my review is stupid, ask yourself what's left of the film once you remove stupid insults, stabbing, shooting and witless sexual references?I get that the film is a fantasy action film. It just doesn't deliver on any other level other than being base comedy.""",Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"""So that was a trip. I really enjoyed that film, and think both casual and hardcore fans will be pleased. Not perfect, but still pretty darn entertaining. There's a temptation lately for films that aren't perfect to be seen as a disappointment, and I hope that isn't the case here.The Deadpool and Wolverine team up has been teased since 2009's disaster X-Men Origins: Wolverine movie. The film aims to strike a balance between being accessible to casual viewers while also satisfying die-hard fans of the characters.However, the film also faces the challenge of navigating the complex and intricate web of continuity that exists within the Marvel universe. With close to 50 (!) films in its continuity (not including the TV shows and Sony's films), the Deadpool and Wolverine movie needed to carefully thread the needle to ensure that it honors the established lore while also delivering a fresh and engaging story.Despite the potential baggage of its expansive continuity, the Deadpool and Wolverine works as a standalone.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"""My first review.I'm not a huge Marvel fan, but I've watched all Deadpool and loved them.Don't know what it is about this one but I've found it hilarious, and it would seem that whole theatre did as well. All jokes are spot on, acting is awesome (with few exceptions), action is great - all in all a movie I would recommend to anyone who can stomach a bit of adult (and childish) humour and gore.Story is OK, nothing special, but execution makes up for it. Cameos are, as far as I'm concerned, awesome as well.And one more thing - pacing is also spot on - 2 hours flew by.I'll keep it short - just go and watch it!""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"""Watched it on IMAX with my parents and it was definitely worth it. It was truly entertaining and fun. Smiling and laughing from the start till the end. Also, I never thought I would see some """"old"""" characters and """"old/new"""" characters in this film. Many easter eggs, if you're that nerd, truly nostalgic. I could say this is one of the best multiverse film ever. Also the soundtrack for this film was great. However, the movie should have been longer because we waited for many years for this prequel. When it ended, it was bittersweet because I grew up with these movies. Thank you Deadpool, our Marvel Jesus.....and Logan, the wrong guy always. :)""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"""The opening sequence to this film is one of the best I've seen. Whole lot of fighting with Logan's bones & dancing to Bye Bye Bye, a masterpiece opening. The constant fourth wall breaking was timed perfectly & constant laughs along the way. It was a wonderful tribute throughout to some of the forgotten heroes in other films. Wolverine wearing the suit was great but the line """"Friends don't let friends leave home looking like they fight crime for the Los Angeles Rams."""" is incredible. The constant shots at other studios or the failures of marvel since Endgame was funny & something I wasn't sure we'd see in a Marvel Studios production but it made it even better. The whole movie is really just a bunch of fun as you'd expect with some epic action sequences along the way. If you loved the first two, you're going to love this, if you didn't then I'd skip it as it really cranks up what makes deadpool, deadpool. The movie is one big Easter egg so make sure you're locked in to everything going on. One of my favourite lines in the film """"Pegging isn't new for me, but it is for Disney"""" perfect delivery. If you want to get some closure on a gag from the film make sure you stay for the credit scene.""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"""I felt like the story was weak and obviously things were happening just to progress the plot versus making sense. Charles sister one moment is touched because 1 of the infinite number of Charles might have cared she existed and releasing them from the void, to instantly following them to destroy everything just because she was written to.That being said if you just enjoy the cultural references and ride without thinking, it's a good film. There are many hilarious scenes and great fight scenes along with beautifully shot scenes. I saw it in imax 3d in Indy and the effects were really solid as well. Overall 7 if you think about it, 8 if you just enjoy the ride.""",Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"""""""Deadpool & Wolverine"""" was everything that I ever wanted, and it BLEW MY MIND AWAY, with surprising CAMEOS, but not gonna tell ya! You have to watch it on the BIG SCREEN to believe it! It takes it to a WHOLE NEW LEVEL!!! It literally blow me away with every exciting elements and a whole new adventure, and I'm loosing my mind! I never felt more excited and so happy with joy as I am right now!!!Ryan Reynolds and Hugh Jackman, are way OVER THE TOP with their BEST performances! The one and only loud mouth superhero/non superhero comedy goof ball: DEADPOOL, and once again, returns as the X-Men strongest tough superhero: WOLVERINE! The PERFECT team up, straight out of the MCU comic book genre!Emma Corrin played the best supervillain role as Cassandra Nova, and she literally nailed that part so brilliantly, and Matthew Macfadyen did a pretty good job as Mr. Paradox, and I never knew how the TVA can go from a whole new direction in the film. The ACTION, the COMEDY, the SPECTACLE, the JOKES, the GORE, and every best Marvel moments was beautifully well done by the book when it comes to Kevin Feige, and along with the MCU team, that can actually make many Marvel movies possible, to keep Stan Lee's name and his legacy alive!Shawn Levy, who made Free Guy, Night at the Museum films, Real Steel, and The Adam Project, did a really great job making his version of Deadpool happen on the BIG SCREEN, and we finally got what the Marvel fans wanted! Everything with Marvel Studios was brilliant, I'm not gonna say anything about it tho, so NO SPOILERS, lmao, but this was definitely the best buddy superhero movie of 2024, and I would love to go see D&W, over and over and over and over again!LFG!10/10..... more like: 1000/10!""",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"""We saw this at the midnight premiere in imperial Copenhagen, it was a fun experience meeting people in the middle of the night for a new movie, and assembling fans who enjoy this franchise as much as ourselves.The movie in its entirety was very enjoyable, but it seemed like they just had to come up with something for the fun of it. Don't get me wrong, Ryan Reynolds does a phenomenal job, and the some scenes are just way to hilarious. But it lacked something which i somehow can't explain, it just seemed like they could have come up with a better story imo. But what do I know?I say go for it, and at least you end up laughing.""",Neutrral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
